PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,DOG,BEAGLE,ORAL,8.3-10.9 MG/KG/D (AVE DAILY INTAKE) FOR 68.5-91 MO (TOTAL DOSE: 90-198 G),LIVER: CARCINOMA; URINARY BLADDER: PAPILLOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Suppl 1 497]"
2,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,HAMSTER,SYRIAN,ORAL,"5 MG FOR 22 WK THEN 15 MG FOR 4 WK, THEN 10 MG 2/WK AFTER 42 WK",URINARY BLADDER: CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. 72-73 356]"
3,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,HAMSTER,"SYRIAN/ MALE, FEMALE","INTRAPERITONEAL, ORAL","5 MG/100 G 3/WK FOR 3 WK, THEN 0.06% IN DIET",URINARY BLADDER; LIVER: CHOLANGIOCARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. 72-73 356]"
4,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,HAMSTER,SYRIAN/FEMALE,ORAL,0.025% IN DIET FOR LIFE,LIVER: INTRAHEPATIC BILE DUCT CARCINOMA,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. 68-69 361]"
5,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,MOUSE,"CBA/ MALE, FEMALE",ORAL,3 MG/MOUSE 2/WK,MAMMARY GLAND; URINARY BLADDER; LIVER,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Y-47 439][WEISBURGER,EK AND WEISBURGER,JH; CHEMISTRY, CARCINOGENICITY, AND METABOLISM OF 2-FLUORENAMINE AND RELATED COMPOUNDS; ADV. CANCER RES. 5:356-357, 1958, ]"
6,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,MOUSE,"STRAIN-IF/ MALE, FEMALE",ORAL,3 MG/MOUSE 2/WK,URINARY BLADDER; LIVER; MAMMARY GLAND,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Y-47 439][WEISBURGER,EK AND WEISBURGER,JH; CHEMISTRY, CARCINOGENICITY, AND METABOLISM OF 2-FLUORENAMINE AND RELATED COMPOUNDS; ADV. CANCER RES. 5:356-357, 1958, ]"
7,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,MOUSE,"R-III/ MALE, FEMALE",ORAL,3 MG/MOUSE 2/WK,URINARY BLADDER; LIVER,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Y-47 439][WEISBURGER,EK AND WEISBURGER,JH; CHEMISTRY, CARCINOGENICITY, AND METABOLISM OF 2-FLUORENAMINE AND RELATED COMPOUNDS; ADV. CANCER RES. 5:356-357, 1958, ]"
8,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,MOUSE,"STRAIN-A/ MALE, FEMALE",ORAL,3 MG/MOUSE 2/WK,URINARY BLADDER,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. Y-47 439][WEISBURGER,EK AND WEISBURGER,JH; CHEMISTRY, CARCINOGENICITY, AND METABOLISM OF 2-FLUORENAMINE AND RELATED COMPOUNDS; ADV. CANCER RES. 5:356-357, 1958, ]"
9,363897951,5897,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,,,,RABBIT,NZW/FEMALE,ORAL,100 MG IN 1 ML CORN OIL 2/WK FOR LIFE,URINARY BLADDER: TRANSITIONAL CELL TUMOR; KIDNEY: TRANSITIONAL CELL TUMOR,POSITIVE,"[U.S. PUBLIC HEALTH SERVICE PUBLICATION 149;SURVEY OF COMPOUNDS WHICH HAVE BEEN TESTED FOR CARCINOGENIC ACTIVITY; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, U.S. GOVERNMENT PRINTING OFFICE, WASHINGTON, D.C., p. 68-69 361]"
